entityRef,entityRefName,entityID
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference982,azelaic acid [Guide to Pharmacology:7484],7484
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference982,ZK-62498,7484
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference982,Finacea&reg;,7484
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference445,beta-D-Manp-(1->4)-beta-D-GlcpNAc [ChEBI:71553],CHEBI:71553
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference445,beta-D-Manp-(1->4)-beta-D-GlcpNAc,CHEBI:71553
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,sertraline [Guide to Pharmacology:4798],4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,Lustral&reg;,4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,Zoloft&reg;,4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,CP-51974-1,4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,CP-519741,4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2892,sertraline,4798
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1488,"1,4-benzoquinones [ChEBI:132124]",CHEBI:132124
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1488,para-benzoquinones,CHEBI:132124
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1488,p-benzoquinones,CHEBI:132124
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1488,a quinone,CHEBI:132124
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1488,"1,4-benzoquinones",CHEBI:132124
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference351,"1,5-anhydro-D-glucitol",CHEBI:16070
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference351,"1,5-anhydro-D-glucitol [ChEBI:16070]",CHEBI:16070
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference489,"1D-myo-inositol 1,4-bisphosphate(4-)",CHEBI:58282
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference489,"1D-myo-inositol 1,4-bisphosphate(4-) [ChEBI:58282]",CHEBI:58282
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference489,"1D-myo-inositol 1,4-bisphosphate",CHEBI:58282
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference489,"1D-myo-inositol 1,4-bisphosphate tetraanion",CHEBI:58282
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference489,"1D-myo-inositol 1,4-bis(phosphate)",CHEBI:58282
