entityRef,entityRefName,entityID
http://www.reactome.org/biopax/95/48887#ProteinReference1342,DGAT2L1,Q96PD6
http://www.reactome.org/biopax/95/48887#ProteinReference1342,DC2,Q96PD6
http://www.reactome.org/biopax/95/48887#ProteinReference1342,MOGAT1,Q96PD6
http://www.reactome.org/biopax/95/48887#ProteinReference1342,UniProt:Q96PD6 MOGAT1,Q96PD6
http://www.reactome.org/biopax/95/48887#ProteinReference4141,CTSZ,Q9UBR2
http://www.reactome.org/biopax/95/48887#ProteinReference4141,UniProt:Q9UBR2 CTSZ,Q9UBR2
http://www.reactome.org/biopax/95/48887#ProteinReference9181,UniProt:Q8N6D2 RNF182,Q8N6D2
http://www.reactome.org/biopax/95/48887#ProteinReference9181,RNF182,Q8N6D2
http://www.reactome.org/biopax/95/48887#ProteinReference1092,UniProt:Q96G25 MED8,Q96G25
http://www.reactome.org/biopax/95/48887#ProteinReference1092,MED8,Q96G25
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1854,"di-trans,poly-cis-dolichal",CHEBI:231637
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1854,"di-trans,poly-cis-dolichal [ChEBI:231637]",CHEBI:231637
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1250,2-oxo-ATP,CHEBI:172878
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1250,2-oxo-ATP(4-) [ChEBI:172878],CHEBI:172878
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1250,2-oxo-ATP(4-),CHEBI:172878
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1307,Triphosphat,CHEBI:15266
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1307,triphosphate ion,CHEBI:15266
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1307,triphosphate ions,CHEBI:15266
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1307,triphosphate ion [ChEBI:15266],CHEBI:15266
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1457,thiosulfate,CHEBI:33542
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1457,trioxidosulfanidosulfate(1-),CHEBI:33542
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1457,[SO3(SH)](-),CHEBI:33542
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference1457,trioxidosulfanidosulfate(1-) [ChEBI:33542],CHEBI:33542
http://www.reactome.org/biopax/95/48887#SmallMoleculeReference2476,retaspimycin hydrochloride,9827
