entityRef,entityRefName
reactome:ProteinReference3255,RPUSD3
reactome:ProteinReference3255,UniProt:Q6P087 RPUSD3
reactome:ProteinReference5019,KIAA0076
reactome:ProteinReference5019,UniProt:Q14999 CUL7
reactome:ProteinReference5019,CUL7
reactome:ProteinReference11997,UniProt:Q96RA2 OR7D2
reactome:ProteinReference11997,OR7D2
reactome:ProteinReference4791,RAB13
reactome:ProteinReference4791,GIG4
reactome:ProteinReference4791,UniProt:P51153 RAB13
reactome:ProteinReference7967,TCGAP
reactome:ProteinReference7967,ARHGAP33
reactome:ProteinReference7967,SNX26
reactome:ProteinReference7967,UniProt:O14559 ARHGAP33
reactome:ProteinReference1864,ACO2
reactome:ProteinReference1864,UniProt:Q99798 ACO2
reactome:ProteinReference1608,UniProt:Q6UWY0 ARSK
reactome:ProteinReference1608,TSULF
reactome:ProteinReference1608,ARSK
reactome:ProteinReference1608,UNQ630/PRO1246
reactome:ProteinReference6829,ROCK1
reactome:ProteinReference6829,UniProt:Q13464 ROCK1
reactome:ProteinReference11962,OR6B1
reactome:ProteinReference11962,UniProt:O95007 OR6B1
reactome:ProteinReference18,WHT1
reactome:ProteinReference18,ABCG1
reactome:ProteinReference18,ABC8
reactome:ProteinReference18,UniProt:P45844 ABCG1
reactome:ProteinReference6590,UniProt:Q8TC07 TBC1D15
reactome:ProteinReference6590,TBC1D15
reactome:ProteinReference12092,UniProt:Q0ZLH3 PJVK
reactome:ProteinReference12092,PJVK
reactome:ProteinReference12092,DFNB59
reactome:ProteinReference1069,HCA137
reactome:ProteinReference1069,TGS1
reactome:ProteinReference1069,UniProt:Q96RS0 TGS1
reactome:ProteinReference1069,PIMT
reactome:ProteinReference1069,NCOA6IP
reactome:ProteinReference4140,CTSC
reactome:ProteinReference4140,CPPI
reactome:ProteinReference4140,UniProt:P53634 CTSC
reactome:ProteinReference9668,UniProt:Q9Y3L5 RAP2C
reactome:ProteinReference9668,RAP2C
reactome:ProteinReference7521,UNQ146/PRO172
reactome:ProteinReference7521,DLL1
reactome:ProteinReference7521,UniProt:O00548 DLL1
reactome:ProteinReference11966,UniProt:Q9NZP2 OR6C2
reactome:ProteinReference11966,OR6C2
reactome:ProteinReference9451,UniProt:O75575 CRCP
reactome:ProteinReference9451,CRCP
reactome:ProteinReference3065,APOBEC3H
reactome:ProteinReference3065,UniProt:Q6NTF7 APOBEC3H
reactome:ProteinReference8370,MAP2K6
