entity,id
http://smpdb.ca/pathways/#Protein/14744_Endoplasmic_Reticulum,Q1LZE6
http://smpdb.ca/pathways/#Protein/2211_Endoplasmic_Reticulum,O95992
http://smpdb.ca/pathways/#Protein/19944_Nucleus,O09139
http://smpdb.ca/pathways/#Protein/11793,Z0Z000
http://smpdb.ca/pathways/#Protein/5761_Extracellular_Space,
http://smpdb.ca/pathways/#Protein/10813_Mitochondrial_Matrix,P27796
http://smpdb.ca/pathways/#Protein/1067_Cytosol,Q13233
http://smpdb.ca/pathways/#Protein/12085_Cytosol,B7UYS5
http://smpdb.ca/pathways/#Protein/14584_Extracellular_Space,P01024
http://smpdb.ca/pathways/#Protein/6119_Cytoplasm,P0A9H3
http://smpdb.ca/pathways/#Protein/22268_Cell_Membrane,Q07303
http://smpdb.ca/pathways/#Protein/13792_Cytosol,Q8K248
http://smpdb.ca/pathways/#Protein/15807_Cell_Membrane,Q19673
http://smpdb.ca/pathways/#Protein/22193,Q3U779
http://smpdb.ca/pathways/#Protein/19604_Cytoplasm,O70601
http://smpdb.ca/pathways/#Protein/20209_Cytoplasm,A4FUC8
http://smpdb.ca/pathways/#Protein/476_Endoplasmic_Reticulum_Membrane,Q9HAW7
http://smpdb.ca/pathways/#Protein/10851,P26263
http://smpdb.ca/pathways/#Protein/21738,P28075
http://smpdb.ca/pathways/#Protein/19520,Q8BXI2
http://smpdb.ca/pathways/#Protein/9979_Mitochondrial_Matrix,P53312
http://smpdb.ca/pathways/#Protein/20007_Membrane,A1L1J0
http://smpdb.ca/pathways/#Protein/11569_Chloroplast,Q8LDU4
http://smpdb.ca/pathways/#Protein/17174_Cytosol,Q29RI4
http://smpdb.ca/pathways/#Protein/10867,P38992
http://smpdb.ca/pathways/#Protein/5694_Extracellular_Space,P02675
http://smpdb.ca/pathways/#Protein/1897,Q15311
http://smpdb.ca/pathways/#Protein/16538_Mitochondrial_Inner_Membrane,Q09660
http://smpdb.ca/pathways/#Protein/918_Cytosol,P05062
http://smpdb.ca/pathways/#Protein/17669_Cytosol,Q9VCV4
http://smpdb.ca/pathways/#Protein/13907_Peroxisome_Membrane,P41216
http://smpdb.ca/pathways/#Protein/20081_Cytoplasm,Q7YRP7
http://smpdb.ca/pathways/#Protein/6361,P17169
http://smpdb.ca/pathways/#Protein/20534_sarcoplasmic_reticulum,Q0VCY0
http://smpdb.ca/pathways/#Protein/13561_Endoplasmic_Reticulum,O22203
http://smpdb.ca/pathways/#Protein/13763_Cytoplasm,P50431
http://smpdb.ca/pathways/#Protein/Generic195,
http://smpdb.ca/pathways/#Protein/797_Mitochondrion,Q9UDR5
http://smpdb.ca/pathways/#Protein/1527_Cytosol,P29274
http://smpdb.ca/pathways/#Protein/21223,P23204
http://smpdb.ca/pathways/#Protein/17593_Cytoplasm,Q3ZBW4
http://smpdb.ca/pathways/#Protein/15094_Mitochondrial_Matrix,A7YWE4
http://smpdb.ca/pathways/#Protein/Generic79_Cell_Membrane,
http://smpdb.ca/pathways/#Protein/7430_Outer_Membrane,P28635
http://smpdb.ca/pathways/#Protein/12268_Cytosol,B7V0A0
http://smpdb.ca/pathways/#Protein/546_Peroxisome_Membrane,P33121
http://smpdb.ca/pathways/#Protein/520_Endoplasmic_Reticulum_Membrane,Q9UBM7
http://smpdb.ca/pathways/#Protein/14646,P0C0L5
http://smpdb.ca/pathways/#Protein/13855_Cell_Membrane,Q8CI15
http://smpdb.ca/pathways/#Protein/16350_Cytoplasm,P13697
http://smpdb.ca/pathways/#Protein/17145_Cytosol,O77425
http://smpdb.ca/pathways/#Protein/7803,P06999
http://smpdb.ca/pathways/#Protein/15855_Cytosol,P17708
http://smpdb.ca/pathways/#Protein/14941_Mitochondrial_Matrix,Q17371
http://smpdb.ca/pathways/#Protein/1320_Cytosol,Q06187
http://smpdb.ca/pathways/#Protein/17269_Endoplasmic_Reticulum_Membrane,A5PJS2
http://smpdb.ca/pathways/#Protein/19753_Cytoplasm,P02698
http://smpdb.ca/pathways/#Protein/21388_Cell_Membrane,Q4KMW1
http://smpdb.ca/pathways/#Protein/10639,P14065
http://smpdb.ca/pathways/#Protein/20617_Cytosol,P50753
http://smpdb.ca/pathways/#Protein/78_Smooth_Endoplasmic_Reticulum_,Q9UBM1
http://smpdb.ca/pathways/#Protein/19986_Cytoplasm,Q8BX84
http://smpdb.ca/pathways/#Protein/19606_Cytoplasm,P05696
http://smpdb.ca/pathways/#Protein/10398,P0ACP1
http://smpdb.ca/pathways/#Protein/22793,P34575
http://smpdb.ca/pathways/#Protein/2275_Extracellular_Space,P08294
http://smpdb.ca/pathways/#Protein/4632_Cell_Membrane,P36507
http://smpdb.ca/pathways/#Protein/1844,Q13639
