entity,entityName
http://smpdb.ca/pathways/#Protein/19625_Cytoplasm,Growth factor receptor-bound protein 2
http://smpdb.ca/pathways/#Protein/21290_Extracellular_Space,Toll-like receptor 4
http://smpdb.ca/pathways/#Protein/7500,Uncharacterized aminotransferase yfdZ
http://smpdb.ca/pathways/#Protein/2061_Extracellular_Space,Proheparin-binding EGF-like growth factor
http://smpdb.ca/pathways/#Protein/14658,Complement C2-B
http://smpdb.ca/pathways/#Protein/11768_Mitochondrial_Inner_Membrane,F-type H+-transporting ATPase subunit alpha
http://smpdb.ca/pathways/#Protein/11950_Cytosol,NAD/NADP-dependent betaine aldehyde dehydrogenase
http://smpdb.ca/pathways/#Protein/10692,Imidazoleglycerol-phosphate dehydratase
http://smpdb.ca/pathways/#Protein/19552_Cytosol,"Myosin light chain kinase, smooth muscle"
http://smpdb.ca/pathways/#Protein/13983_Endoplasmic_Reticulum,Cholesterol 25-hydroxylase
http://smpdb.ca/pathways/#Protein/11263_Chloroplast,"Reactive Intermediate Deaminase A, chloroplastic"
http://smpdb.ca/pathways/#Protein/9659_Chloroplast,Unknown
http://smpdb.ca/pathways/#Protein/13866_Peroxisome,Phosphomevalonate kinase
http://smpdb.ca/pathways/#Protein/14189_Cytosol,Guanidinoacetate N-methyltransferase
http://smpdb.ca/pathways/#Protein/7725_Endoplasmic_Reticulum_Membrane,Unknown
http://smpdb.ca/pathways/#Protein/16275_Mitochondrial_Inner_Membrane,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
http://smpdb.ca/pathways/#Protein/5717_Cell_Membrane,Beclin-1
http://smpdb.ca/pathways/#Protein/20723_Cytoplasm,40S ribosomal protein S14
http://smpdb.ca/pathways/#Protein/20032_Membrane,Platelet-derived growth factor receptor alpha
http://smpdb.ca/pathways/#Protein/1324_Cytoplasm,Protein-tyrosine kinase 2-beta
http://smpdb.ca/pathways/#Protein/19433_Cytosol,Rho guanine nucleotide exchange factor 9
http://smpdb.ca/pathways/#Protein/15008_Cytoplasm,Argininosuccinate lyase
http://smpdb.ca/pathways/#Protein/11747_Mitochondrial_Inner_Membrane,succinate dehydrogenase subunit 3-1
http://smpdb.ca/pathways/#Protein/14744_Endoplasmic_Reticulum,Cholinephosphotransferase 1
http://smpdb.ca/pathways/#Protein/2211_Endoplasmic_Reticulum,Cholesterol 25-hydroxylase
http://smpdb.ca/pathways/#Protein/19944_Nucleus,Transcription factor E2F1
http://smpdb.ca/pathways/#Protein/11793,D-mannose 1-phosphate transporter
http://smpdb.ca/pathways/#Protein/5761_Extracellular_Space,Aprotinin
http://smpdb.ca/pathways/#Protein/10813_Mitochondrial_Matrix,"3-ketoacyl-CoA thiolase, peroxisomal"
http://smpdb.ca/pathways/#Protein/1067_Cytosol,Mitogen-activated protein kinase kinase kinase 1
http://smpdb.ca/pathways/#Protein/12085_Cytosol,Beta-hexosaminidase
http://smpdb.ca/pathways/#Protein/14584_Extracellular_Space,Complement C3
http://smpdb.ca/pathways/#Protein/6119_Cytoplasm,"Lysine decarboxylase, inducible"
http://smpdb.ca/pathways/#Protein/22268_Cell_Membrane,Erythropoietin receptor
http://smpdb.ca/pathways/#Protein/13792_Cytosol,4-hydroxyphenylpyruvate dioxygenase-like protein
http://smpdb.ca/pathways/#Protein/15807_Cell_Membrane,Putative tyrosinase-like protein tyr-3
http://smpdb.ca/pathways/#Protein/22193,Properdin
http://smpdb.ca/pathways/#Protein/19604_Cytoplasm,Linker for activation of T-cells family member 1
http://smpdb.ca/pathways/#Protein/20209_Cytoplasm,CARS protein
http://smpdb.ca/pathways/#Protein/476_Endoplasmic_Reticulum_Membrane,UDP-glucuronosyltransferase 1-7
http://smpdb.ca/pathways/#Protein/10851,Pyruvate decarboxylase isozyme 3
http://smpdb.ca/pathways/#Protein/21738,Proteasome subunit beta type-5
http://smpdb.ca/pathways/#Protein/19520,Adenosine receptor A2b
http://smpdb.ca/pathways/#Protein/9979_Mitochondrial_Matrix,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial"
http://smpdb.ca/pathways/#Protein/20007_Membrane,TRAF family member-associated NFKB activator
http://smpdb.ca/pathways/#Protein/11569_Chloroplast,red chlorophyll catabolite reductase
http://smpdb.ca/pathways/#Protein/17174_Cytosol,"GTP:AMP phosphotransferase AK3, mitochondrial"
