entityRef,entityRefID
http://smpdb.ca/pathways/#ProteinReference/10521,P19358
http://smpdb.ca/pathways/#ProteinReference/14619,A1L1K7
http://smpdb.ca/pathways/#ProteinReference/17645,Q8CIY2
http://smpdb.ca/pathways/#ProteinReference/14656,P00751
http://smpdb.ca/pathways/#ProteinReference/19368,Q9R2A4
http://smpdb.ca/pathways/#ProteinReference/20155,P62892
http://smpdb.ca/pathways/#ProteinReference/14011,P04401
http://smpdb.ca/pathways/#ProteinReference/2028,O60779
http://smpdb.ca/pathways/#ProteinReference/5834,P00816
http://smpdb.ca/pathways/#ProteinReference/19708,Q62869
http://smpdb.ca/pathways/#ProteinReference/22297,O35397
http://smpdb.ca/pathways/#ProteinReference/10525,Q04430
http://smpdb.ca/pathways/#ProteinReference/16476,A7YWE9
http://smpdb.ca/pathways/#ProteinReference/22126,Q2KIU6
http://smpdb.ca/pathways/#ProteinReference/1664,O43826
http://smpdb.ca/pathways/#ProteinReference/20151,Q9D823
http://smpdb.ca/pathways/#ProteinReference/19739,Q28031
http://smpdb.ca/pathways/#ProteinReference/2430,Q9H2F3
http://smpdb.ca/pathways/#ProteinReference/15202,Q641X3
http://smpdb.ca/pathways/#ProteinReference/14666,P06681
http://smpdb.ca/pathways/#ProteinReference/15150,Q5BIZ5
http://smpdb.ca/pathways/#ProteinReference/7203,P21345
http://smpdb.ca/pathways/#ProteinReference/17412,F1MTQ5
http://smpdb.ca/pathways/#ProteinReference/20361,A2AN88
http://smpdb.ca/pathways/#ProteinReference/20584,Q9QUP7
http://smpdb.ca/pathways/#ProteinReference/614,Q9P2J5
http://smpdb.ca/pathways/#ProteinReference/21291,Q9Z203
http://smpdb.ca/pathways/#ProteinReference/15353,Q18164
http://smpdb.ca/pathways/#ProteinReference/20431,E1BNE9
http://smpdb.ca/pathways/#ProteinReference/7935,P28066
http://smpdb.ca/pathways/#ProteinReference/7390,P0AGC0
http://smpdb.ca/pathways/#ProteinReference/8101,P42766
http://smpdb.ca/pathways/#ProteinReference/16606,Q21795
http://smpdb.ca/pathways/#ProteinReference/11651,P10795
http://smpdb.ca/pathways/#ProteinReference/15021,Q95003
http://smpdb.ca/pathways/#ProteinReference/13838,P27664
http://smpdb.ca/pathways/#ProteinReference/7204,P12281
http://smpdb.ca/pathways/#ProteinReference/11558,Z0Z000
http://smpdb.ca/pathways/#ProteinReference/803,P40926
http://smpdb.ca/pathways/#ProteinReference/11080,Q6NKX1
http://smpdb.ca/pathways/#ProteinReference/15973,G3V6C2
http://smpdb.ca/pathways/#ProteinReference/15030,P34345
http://smpdb.ca/pathways/#ProteinReference/7733,P48760
http://smpdb.ca/pathways/#ProteinReference/22846,Q8H1F7
http://smpdb.ca/pathways/#ProteinReference/15541,Q9QYD4
http://smpdb.ca/pathways/#ProteinReference/17063,Q8T3D8
http://smpdb.ca/pathways/#ProteinReference/5730,Q5T3U5
http://smpdb.ca/pathways/#ProteinReference/15060,Q18596
http://smpdb.ca/pathways/#ProteinReference/12235,Q02NA3
http://smpdb.ca/pathways/#ProteinReference/15014,F1N191
http://smpdb.ca/pathways/#ProteinReference/16695,Q9WTT6
http://smpdb.ca/pathways/#ProteinReference/2015,Q9BPW9
http://smpdb.ca/pathways/#ProteinReference/21497,Q61083
http://smpdb.ca/pathways/#ProteinReference/5154,P62993
http://smpdb.ca/pathways/#ProteinReference/17154,Q6B855
http://smpdb.ca/pathways/#ProteinReference/7760,
http://smpdb.ca/pathways/#ProteinReference/21809,Q1RMS3
http://smpdb.ca/pathways/#ProteinReference/20548,Q58DW0
http://smpdb.ca/pathways/#ProteinReference/19760,Q9JHR6
http://smpdb.ca/pathways/#ProteinReference/20686,O18789
http://smpdb.ca/pathways/#ProteinReference/16470,Q9VHB8
http://smpdb.ca/pathways/#ProteinReference/14995,A5PJR4
http://smpdb.ca/pathways/#ProteinReference/76,O14684
http://smpdb.ca/pathways/#ProteinReference/21493,Q2LGB3
http://smpdb.ca/pathways/#ProteinReference/21772,Q3T0Z1
http://smpdb.ca/pathways/#ProteinReference/15566,Q9VIC9
http://smpdb.ca/pathways/#ProteinReference/285,P49189
http://smpdb.ca/pathways/#ProteinReference/11554,Q8S948
http://smpdb.ca/pathways/#ProteinReference/11787,Q9LF61
http://smpdb.ca/pathways/#ProteinReference/6257,P0AEY3
http://smpdb.ca/pathways/#ProteinReference/6230,P0AE37
http://smpdb.ca/pathways/#ProteinReference/19353,P26769
http://smpdb.ca/pathways/#ProteinReference/6323,P12996
http://smpdb.ca/pathways/#ProteinReference/21428,Q58D14
http://smpdb.ca/pathways/#ProteinReference/4915,P15382
http://smpdb.ca/pathways/#ProteinReference/22044,Q5M848
http://smpdb.ca/pathways/#ProteinReference/11117,Q9SJH7
http://smpdb.ca/pathways/#ProteinReference/10555,Q06489
http://smpdb.ca/pathways/#ProteinReference/20181,Q9CZX8
http://smpdb.ca/pathways/#ProteinReference/1101,Q15118
http://smpdb.ca/pathways/#ProteinReference/11140,O65396
http://smpdb.ca/pathways/#ProteinReference/14662,Q9Y6Y9
http://smpdb.ca/pathways/#ProteinReference/9226,P20936
http://smpdb.ca/pathways/#ProteinReference/6461,P27248
http://smpdb.ca/pathways/#ProteinReference/14886,Q6P7S4
http://smpdb.ca/pathways/#ProteinReference/11980,Q02KT6
http://smpdb.ca/pathways/#ProteinReference/15094,A7YWE4
http://smpdb.ca/pathways/#ProteinReference/16937,Q0VGQ5
http://smpdb.ca/pathways/#ProteinReference/15536,D3ZZN3
http://smpdb.ca/pathways/#ProteinReference/6216,P0AD61
http://smpdb.ca/pathways/#ProteinReference/19615,Q2KJG8
http://smpdb.ca/pathways/#ProteinReference/6156,P0AB67
http://smpdb.ca/pathways/#ProteinReference/9981,Q00955
http://smpdb.ca/pathways/#ProteinReference/11162,P17597
http://smpdb.ca/pathways/#ProteinReference/12231,A6VDF5
http://smpdb.ca/pathways/#ProteinReference/14882,Q5XI35
http://smpdb.ca/pathways/#ProteinReference/11988,A6V0C2
http://smpdb.ca/pathways/#ProteinReference/10529,P36024
http://smpdb.ca/pathways/#ProteinReference/11707,P19366
http://smpdb.ca/pathways/#ProteinReference/6378,P19318
http://smpdb.ca/pathways/#ProteinReference/19553,Q28824
http://smpdb.ca/pathways/#ProteinReference/16317,E1BGL5
http://smpdb.ca/pathways/#ProteinReference/13796,Q91WF7
http://smpdb.ca/pathways/#ProteinReference/14520,O60237
http://smpdb.ca/pathways/#ProteinReference/14019,P11352
http://smpdb.ca/pathways/#ProteinReference/13760,Q9D925
http://smpdb.ca/pathways/#ProteinReference/15500,D3ZG79
http://smpdb.ca/pathways/#ProteinReference/10,P53396
http://smpdb.ca/pathways/#ProteinReference/15284,Q6AY23
http://smpdb.ca/pathways/#ProteinReference/398,P11086
http://smpdb.ca/pathways/#ProteinReference/16385,Q5RK24
http://smpdb.ca/pathways/#ProteinReference/15374,Q2KIL0
http://smpdb.ca/pathways/#ProteinReference/16357,Q8I725
http://smpdb.ca/pathways/#ProteinReference/14715,Q9NR97
http://smpdb.ca/pathways/#ProteinReference/11705,P49107
http://smpdb.ca/pathways/#ProteinReference/6043,P0A7A7
http://smpdb.ca/pathways/#GenericProteinReference/18,CHEBI:15857
http://smpdb.ca/pathways/#ProteinReference/16886,Q99PN7
http://smpdb.ca/pathways/#ProteinReference/340,Q06520
http://smpdb.ca/pathways/#ProteinReference/2598,Q9BXD5
http://smpdb.ca/pathways/#ProteinReference/22654,Q7JQW6
http://smpdb.ca/pathways/#ProteinReference/910,P09917
http://smpdb.ca/pathways/#ProteinReference/12096,B7V7R4
http://smpdb.ca/pathways/#ProteinReference/5706,Q8TBF2
http://smpdb.ca/pathways/#ProteinReference/4560,Q9H8X2
http://smpdb.ca/pathways/#ProteinReference/6790,P77581
http://smpdb.ca/pathways/#ProteinReference/1873,O14727
http://smpdb.ca/pathways/#ProteinReference/16914,Q21225
http://smpdb.ca/pathways/#ProteinReference/19659,F1MYE0
http://smpdb.ca/pathways/#ProteinReference/6140,P0A9S3
http://smpdb.ca/pathways/#ProteinReference/7070,P0AFS1
http://smpdb.ca/pathways/#ProteinReference/21139,Q5XI73
http://smpdb.ca/pathways/#ProteinReference/16235,Q675A5
http://smpdb.ca/pathways/#ProteinReference/17554,O44479
http://smpdb.ca/pathways/#ProteinReference/16842,P91500
http://smpdb.ca/pathways/#ProteinReference/15811,F6R6Q1
http://smpdb.ca/pathways/#ProteinReference/7394,P27125
http://smpdb.ca/pathways/#ProteinReference/20621,P13790
http://smpdb.ca/pathways/#ProteinReference/3854,Q7Z449
http://smpdb.ca/pathways/#ProteinReference/14223,Q6W3F0
http://smpdb.ca/pathways/#ProteinReference/16174,Q9MYM4
http://smpdb.ca/pathways/#ProteinReference/12047,Q59633
http://smpdb.ca/pathways/#ProteinReference/7363,P39400
http://smpdb.ca/pathways/#ProteinReference/19757,Q6UA68
http://smpdb.ca/pathways/#ProteinReference/14263,Q9EQC1
http://smpdb.ca/pathways/#ProteinReference/17351,Q7JVG2
http://smpdb.ca/pathways/#ProteinReference/21372,Q5RJZ8
http://smpdb.ca/pathways/#ProteinReference/15259,Q5EBB8
http://smpdb.ca/pathways/#ProteinReference/6858,Q8X714
http://smpdb.ca/pathways/#ProteinReference/6301,P10378
http://smpdb.ca/pathways/#ProteinReference/710,P14618
http://smpdb.ca/pathways/#ProteinReference/7539,P37679
http://smpdb.ca/pathways/#ProteinReference/573,P54577
http://smpdb.ca/pathways/#ProteinReference/11794,Q9SZ63
http://smpdb.ca/pathways/#ProteinReference/11138,Q84WV0
http://smpdb.ca/pathways/#ProteinReference/16241,P14423
http://smpdb.ca/pathways/#GenericProteinReference/199,
http://smpdb.ca/pathways/#ProteinReference/20782,Q1ADE7
http://smpdb.ca/pathways/#ProteinReference/14765,O04928
http://smpdb.ca/pathways/#ProteinReference/19997,Q9QWJ6
http://smpdb.ca/pathways/#ProteinReference/14647,P0C0L4
http://smpdb.ca/pathways/#ProteinReference/10771,P00937
http://smpdb.ca/pathways/#ProteinReference/10324,P45762
http://smpdb.ca/pathways/#ProteinReference/19808,F1N6C7
http://smpdb.ca/pathways/#ProteinReference/20811,Q8CJ22
http://smpdb.ca/pathways/#ProteinReference/517,P09417
http://smpdb.ca/pathways/#ProteinReference/15217,F1MS56
http://smpdb.ca/pathways/#ProteinReference/5722,Q96HA9
http://smpdb.ca/pathways/#ProteinReference/1716,P00747
http://smpdb.ca/pathways/#ProteinReference/19675,P49816
http://smpdb.ca/pathways/#ProteinReference/1231,Q8N5S9
http://smpdb.ca/pathways/#ProteinReference/10697,P08679
http://smpdb.ca/pathways/#ProteinReference/216,Q9NQ66
http://smpdb.ca/pathways/#ProteinReference/6711,P69922
http://smpdb.ca/pathways/#ProteinReference/17181,Q5U3X4
http://smpdb.ca/pathways/#ProteinReference/6485,P29208
http://smpdb.ca/pathways/#ProteinReference/16416,Q64549
http://smpdb.ca/pathways/#ProteinReference/17333,B7YZH5
http://smpdb.ca/pathways/#ProteinReference/16697,F1MLX9
http://smpdb.ca/pathways/#ProteinReference/6563,P37146
http://smpdb.ca/pathways/#ProteinReference/2310,Q92820
http://smpdb.ca/pathways/#ProteinReference/20755,P62856
http://smpdb.ca/pathways/#ProteinReference/13833,Q9DCL9
http://smpdb.ca/pathways/#ProteinReference/10491,P17649
http://smpdb.ca/pathways/#ProteinReference/10926,Q08224
http://smpdb.ca/pathways/#ProteinReference/17012,A4GWE3
http://smpdb.ca/pathways/#ProteinReference/6427,P23908
http://smpdb.ca/pathways/#ProteinReference/14053,P97449
http://smpdb.ca/pathways/#ProteinReference/1588,P04839
http://smpdb.ca/pathways/#ProteinReference/20565,Q3SYR7
http://smpdb.ca/pathways/#ProteinReference/2053,P46721
http://smpdb.ca/pathways/#ProteinReference/3020,P10916
http://smpdb.ca/pathways/#ProteinReference/6358,P16690
http://smpdb.ca/pathways/#ProteinReference/22204,Q80W98
http://smpdb.ca/pathways/#ProteinReference/14926,Q6PCT8
http://smpdb.ca/pathways/#ProteinReference/13866,Q9D1G2
http://smpdb.ca/pathways/#ProteinReference/13717,Q8BG54
http://smpdb.ca/pathways/#ProteinReference/7046,P0AER3
http://smpdb.ca/pathways/#ProteinReference/16356,Q2KJ79
http://smpdb.ca/pathways/#ProteinReference/16151,Q9VQ38
http://smpdb.ca/pathways/#ProteinReference/14691,O15455
http://smpdb.ca/pathways/#ProteinReference/10695,P30952
http://smpdb.ca/pathways/#ProteinReference/17493,P52014
http://smpdb.ca/pathways/#ProteinReference/16101,Q3MID2
http://smpdb.ca/pathways/#ProteinReference/11790,Q9FZ29
http://smpdb.ca/pathways/#ProteinReference/17704,Q8K1M9
http://smpdb.ca/pathways/#ProteinReference/16976,A5D7D6
http://smpdb.ca/pathways/#ProteinReference/19684,Q62639
http://smpdb.ca/pathways/#ProteinReference/826,P20839
http://smpdb.ca/pathways/#ProteinReference/5954,P08839
http://smpdb.ca/pathways/#ProteinReference/16602,E1BLL5
http://smpdb.ca/pathways/#ProteinReference/7940,P49720
http://smpdb.ca/pathways/#ProteinReference/21373,Q6DI63
http://smpdb.ca/pathways/#ProteinReference/16121,Q3T0D4
http://smpdb.ca/pathways/#ProteinReference/10811,P32796
http://smpdb.ca/pathways/#ProteinReference/5818,P00363
http://smpdb.ca/pathways/#GenericProteinReference/76,P60709
http://smpdb.ca/pathways/#ProteinReference/6813,Q46807
http://smpdb.ca/pathways/#ProteinReference/20450,Q05037
http://smpdb.ca/pathways/#ProteinReference/1707,P62834
http://smpdb.ca/pathways/#ProteinReference/10443,P23890
http://smpdb.ca/pathways/#ProteinReference/20682,Q924C9
http://smpdb.ca/pathways/#ProteinReference/16822,F1MLP3
http://smpdb.ca/pathways/#ProteinReference/11748,Q941A0
http://smpdb.ca/pathways/#ProteinReference/10542,P13663
http://smpdb.ca/pathways/#ProteinReference/15802,Q4V8M8
http://smpdb.ca/pathways/#ProteinReference/6287,P0AGD1
http://smpdb.ca/pathways/#ProteinReference/15246,P69060
http://smpdb.ca/pathways/#ProteinReference/1214,P15313
http://smpdb.ca/pathways/#ProteinReference/1279,P05771
http://smpdb.ca/pathways/#ProteinReference/14446,Q12967
http://smpdb.ca/pathways/#ProteinReference/21769,Q9CXH9
http://smpdb.ca/pathways/#ProteinReference/14615,O15524
http://smpdb.ca/pathways/#ProteinReference/19723,P19754
http://smpdb.ca/pathways/#ProteinReference/6849,P63228
http://smpdb.ca/pathways/#ProteinReference/15880,Q0P5A2
http://smpdb.ca/pathways/#ProteinReference/7490,P27128
http://smpdb.ca/pathways/#ProteinReference/18726,B6IDT4
http://smpdb.ca/pathways/#ProteinReference/16407,Q4V8L3
