SOX9	abstraction:ControlsExpressionOf	FOXD3
PDX1	abstraction:ControlsExpressionOf	HXK4
HNF1A	abstraction:ControlsExpressionOf	KPYR
FOXO3	abstraction:ControlsExpressionOf	B2L11
XBP1	abstraction:ControlsExpressionOf	SYVN1
TPRXL	abstraction:ControlsExpressionOf	DUXA
DNMT1	abstraction:ControlsExpressionOf	ZAP70
WNT3A	abstraction:ControlsExpressionOf	PAX3
XBP1	abstraction:ControlsExpressionOf	TPP1
XBP1	abstraction:ControlsExpressionOf	ST1A3
TBX21	abstraction:ControlsExpressionOf	TPST2
XBP1	abstraction:ControlsExpressionOf	SERP1
FGFR1	abstraction:ControlsExpressionOf	SNAI1
EPAS1	abstraction:ControlsExpressionOf	NANOG
ATF6A	abstraction:ControlsExpressionOf	CALR
ZIC1	abstraction:ControlsExpressionOf	FOXD3
NGN3	abstraction:ControlsExpressionOf	INSM1
GBX2	abstraction:ControlsExpressionOf	PAX3
ATF4	abstraction:ControlsExpressionOf	IBP1
PAX6	abstraction:ControlsExpressionOf	INS
DDIT3	abstraction:ControlsExpressionOf	BBC3
ISL1	abstraction:ControlsExpressionOf	GIP
FGF4	abstraction:ControlsExpressionOf	DLX5
LHX1	abstraction:ControlsExpressionOf	PO3F3
PO3F1	abstraction:ControlsExpressionOf	ZEB2
CTNB1	abstraction:ControlsExpressionOf	GATA3
CTNB1	abstraction:ControlsExpressionOf	EMX2
ATF4	abstraction:ControlsExpressionOf	DDIT3
DDIT3	abstraction:ControlsExpressionOf	B2L11
HNF6	abstraction:ControlsExpressionOf	ONEC3
XBP1	abstraction:ControlsExpressionOf	GSK3A
HNF1B	abstraction:ControlsExpressionOf	JAG1
MIXL1	abstraction:ControlsExpressionOf	CADH1
SMYD1	abstraction:ControlsExpressionOf	HAND2
CEBPD	abstraction:ControlsExpressionOf	KLF5
KANK1	abstraction:ControlsExpressionOf	CXXC5
FGF4	abstraction:ControlsExpressionOf	PAX7
NGN3	abstraction:ControlsExpressionOf	NKX22
EPAS1	abstraction:ControlsExpressionOf	SOX2
FGF2	abstraction:ControlsExpressionOf	PAX2
MAFA	abstraction:ControlsExpressionOf	INS
PAX2	abstraction:ControlsExpressionOf	ID4
CEBPA	abstraction:ControlsExpressionOf	PPARG
ZN423	abstraction:ControlsExpressionOf	CIDEA
EMX2	abstraction:ControlsExpressionOf	RET
WNT3A	abstraction:ControlsExpressionOf	AP2A
ATF4	abstraction:ControlsExpressionOf	CCL2
XBP1	abstraction:ControlsExpressionOf	TLN1
LHX1	abstraction:ControlsExpressionOf	DLL1
XBP1	abstraction:ControlsExpressionOf	CUL7
COE1	abstraction:ControlsExpressionOf	CEBPA
NGN3	abstraction:ControlsExpressionOf	PAX4
KLF4	abstraction:ControlsExpressionOf	CEBPB
HNF1A	abstraction:ControlsExpressionOf	FOXA3
EMX2	abstraction:ControlsExpressionOf	LHX1
NFAC1	abstraction:ControlsExpressionOf	I12R2
XBP1	abstraction:ControlsExpressionOf	GOSR2
CTNB1	abstraction:ControlsExpressionOf	MSX1
EGR2	abstraction:ControlsExpressionOf	CEBPB
TGFB1	abstraction:ControlsExpressionOf	PPARG
SIK1	abstraction:ControlsExpressionOf	PER1
CEBPB	abstraction:ControlsExpressionOf	KLF5
CEBPA	abstraction:ControlsExpressionOf	ADIPO
OTX2	abstraction:ControlsExpressionOf	GBX2
PDX1	abstraction:ControlsExpressionOf	INS
WNT3A	abstraction:ControlsExpressionOf	SOX2
TBX1	abstraction:ControlsExpressionOf	ISL1
TNFA	abstraction:ControlsExpressionOf	CEBPA
PAX6	abstraction:ControlsExpressionOf	GLUC
ATF6A	abstraction:ControlsExpressionOf	XBP1
XBP1	abstraction:ControlsExpressionOf	TSYL2
ERR1	abstraction:ControlsExpressionOf	PERM1
XBP1	abstraction:ControlsExpressionOf	EDEM1
HES1	abstraction:ControlsExpressionOf	NGN3
EYA1	abstraction:ControlsExpressionOf	SIX1
CCND3	abstraction:ControlsExpressionOf	FABP4
TBX6	abstraction:ControlsExpressionOf	SOX2
PO3F1	abstraction:ControlsExpressionOf	SOX1
HNF1B	abstraction:ControlsExpressionOf	HNF6
PAX6	abstraction:ControlsExpressionOf	GIP
